building_id,meter,meter_reading,site_id,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed,unixtimestamp
161,1,0.0,2,Education,11329,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
162,1,0.0,2,Education,98829,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
163,1,4.5719,2,Education,72102,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
166,1,209.886,2,Lodging/residential,553210,2009.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
167,1,0.0,2,Lodging/residential,86323,1956.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
168,1,51.557,2,Education,183460,2005.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
169,1,176.686,2,Education,179559,2006.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
170,1,11.2891,2,Retail,45224,1982.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
171,1,0.0,2,Office,131797,1968.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
172,1,0.0,2,Office,121440,1983.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
173,1,19.3427,2,Education,90903,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
174,1,52.8583,2,Education,90900,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
175,1,116.337,2,Education,111635,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
176,1,0.0,2,Education,62238,1970.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
177,1,130.686,2,Entertainment/public assembly,167066,1989.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
178,1,5.8731,2,Office,23392,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
179,1,0.0703,2,Food sales and service,24867,2012.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
180,1,20.3274,2,Education,24586,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
181,1,12.5903,2,Education,148829,2014.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
183,1,13.0827,2,Education,132518,1992.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
187,1,0.6682,2,Education,44203,1950.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
188,1,6.1545,2,Office,23549,1941.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
189,1,0.0,2,Education,7481,1969.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
190,1,0.0,2,Education,137040,1957.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
191,1,82.8922,2,Education,78268,1964.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
192,1,251.701,2,Education,151637,1983.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
194,1,11.5353,2,Office,155682,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
195,1,24.1959,2,Office,9703,1940.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
197,1,16.8809,2,Public services,102856,,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
198,1,46.2466,2,Office,163959,2004.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
200,1,49.8689,2,Entertainment/public assembly,143093,1964.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
201,1,267.14,2,Education,219608,1992.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
202,1,98.1905,2,Lodging/residential,74682,2006.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
203,1,181.786,2,Lodging/residential,63348,2007.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
204,1,42.0615,2,Lodging/residential,30949,1951.0,,15.6,6.0,-5.6,,1015.3,270.0,3.6,1451606400
